amiibo/amiiboSeries,amiibo/character,amiibo/gameSeries,amiibo/head,amiibo/image,amiibo/name,amiibo/release/au,amiibo/release/eu,amiibo/release/jp,amiibo/release/na,amiibo/tail,amiibo/type
Fire Emblem,Celica,Fire Emblem,21070000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_21070000-03611202.png,Celica,2017-05-20,2017-05-19,2017-04-20,2017-05-19,03611202,Figure
Fire Emblem,Chrom,Fire Emblem,21080000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_21080000-036f1202.png,Chrom,2017-10-20,2017-10-20,2017-09-28,2017-10-20,036f1202,Figure
Fire Emblem,Tiki,Fire Emblem,21090000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_21090000-03701202.png,Tiki,2017-10-20,2017-10-20,2017-09-28,2017-10-20,03701202,Figure
Fire Emblem,Alm,Fire Emblem,21060000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_21060000-03601202.png,Alm,2017-05-20,2017-05-19,2017-04-20,2017-05-19,03601202,Figure
