amiibo/amiiboSeries,amiibo/character,amiibo/gameSeries,amiibo/head,amiibo/image,amiibo/name,amiibo/release/au,amiibo/release/eu,amiibo/release/jp,amiibo/release/na,amiibo/tail,amiibo/type
Super Smash Bros.,Mario,Super Mario,00000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000100-00190002.png,Dr. Mario,2015-07-23,2015-07-17,2015-07-17,2015-09-11,00190002,Figure
Super Smash Bros.,Kirby,Kirby,1f000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_1f000000-000a0002.png,Kirby,2014-11-29,2014-11-28,2014-12-06,2014-11-21,000a0002,Figure
Super Smash Bros.,Kazuya,Tekken,33c00000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_33c00000-04200002.png,Kazuya,2023-01-13,2023-01-13,2023-01-13,2023-01-13,04200002,Figure
Super Smash Bros.,Falco,Star Fox,05810000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_05810000-001c0002.png,Falco,2015-11-21,2015-11-20,2015-11-05,2015-11-20,001c0002,Figure
Super Smash Bros.,Lucas,Earthbound,22810000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_22810000-02510002.png,Lucas,2016-01-30,2016-01-29,2015-12-17,2016-01-30,02510002,Figure
Super Smash Bros.,Bowser,Super Mario,00050000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00050000-00140002.png,Bowser,2015-01-29,2015-01-23,2015-01-22,2015-02-01,00140002,Figure
Super Smash Bros.,Charizard,Pokemon,19060000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_19060000-00240002.png,Charizard,2015-04-25,2015-04-24,2015-04-29,2015-05-29,00240002,Figure
Super Smash Bros.,Mega Man,Megaman,34800000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_34800000-02580002.png,Mega Man - Gold Edition,,,,2016-02-23,02580002,Figure
Super Smash Bros.,Olimar,Pikmin,06400100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_06400100-001e0002.png,Olimar,2015-07-23,2015-07-17,2015-07-17,2015-09-11,001e0002,Figure
Super Smash Bros.,King Dedede,Kirby,1f020000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_1f020000-00280002.png,King Dedede,2015-01-29,2015-02-20,2015-01-22,2015-02-01,00280002,Figure
Super Smash Bros.,Roy,Fire Emblem,21040000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_21040000-02520002.png,Roy,2016-03-19,2016-03-18,2016-04-28,2016-03-18,02520002,Figure
Super Smash Bros.,Mr. G&W,Classic Nintendo,07800000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_07800000-002d0002.png,Mr. Game & Watch,2015-09-26,2015-09-25,2015-10-29,2015-09-25,002d0002,Figure
Super Smash Bros.,Captain Falcon,F-Zero,06000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_06000000-00120002.png,Captain Falcon,2014-12-12,2014-12-19,2014-12-06,2014-12-14,00120002,Figure
Super Smash Bros.,Bowser Jr.,Super Mario,00060000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00060000-00150002.png,Bowser Jr.,2015-07-23,2015-07-17,2015-07-17,2015-09-11,00150002,Figure
Super Smash Bros.,Shulk,Xenoblade Chronicles,22400000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_22400000-002b0002.png,Shulk,2015-01-29,2015-02-20,2015-01-22,2015-02-01,002b0002,Figure
Super Smash Bros.,Robin,Fire Emblem,21030000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_21030000-002a0002.png,Robin,2015-04-25,2015-04-24,2015-04-29,2015-05-29,002a0002,Figure
Super Smash Bros.,Link,The Legend of Zelda,01000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000100-00160002.png,Toon Link,2015-01-29,2015-01-23,2015-01-22,2015-02-01,00160002,Figure
Super Smash Bros.,R.O.B.,Classic Nintendo,07810000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_07810000-00330002.png,R.O.B. - NES,2015-09-26,2015-09-25,,2015-09-25,00330002,Figure
Super Smash Bros.,PAC-MAN,Pac-man,33400000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_33400000-00320002.png,Pac-Man,2015-04-25,2015-04-24,2015-04-29,2015-05-29,00320002,Figure
Super Smash Bros.,Mega Man,Megaman,34800000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_34800000-00310002.png,Mega Man,2015-01-29,2015-02-20,2015-01-22,2015-02-01,00310002,Figure
Super Smash Bros.,Donkey Kong,Super Mario,00080000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00080000-00030002.png,Donkey Kong,2014-11-29,2014-11-28,2014-12-06,2014-11-21,00030002,Figure
Super Smash Bros.,Mario,Super Mario,00000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-00000002.png,Mario,2014-11-29,2014-11-28,2014-12-06,2014-11-21,00000002,Figure
Super Smash Bros.,Peach,Super Mario,00020000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00020000-00010002.png,Peach,2014-11-29,2014-11-28,2014-12-06,2014-11-21,00010002,Figure
Super Smash Bros.,Greninja,Pokemon,1b920000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_1b920000-00250002.png,Greninja,2015-05-30,2015-05-29,2015-04-29,2015-05-29,00250002,Figure
Super Smash Bros.,Bayonetta,Bayonetta,32400100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_32400100-03640002.png,Bayonetta - Player 2,2017-07-22,2017-07-21,2017-07-21,2017-07-21,03640002,Figure
Super Smash Bros.,Samus,Metroid,05c00100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_05c00100-001d0002.png,Zero Suit Samus,2015-07-04,2015-06-26,2015-06-11,2015-09-11,001d0002,Figure
Super Smash Bros.,Pit,Kid Icarus,07400000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_07400000-00100002.png,Pit,2014-12-12,2014-12-19,2014-12-06,2014-12-14,00100002,Figure
Super Smash Bros.,Zelda,The Legend of Zelda,01010100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010100-00170002.png,Sheik,2015-01-29,2015-01-23,2015-01-22,2015-02-01,00170002,Figure
Super Smash Bros.,Richter,Castlevania,37c10000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_37c10000-038c0002.png,Richter,2020-01-17,2020-01-17,2020-01-17,2020-01-17,038c0002,Figure
Super Smash Bros.,Little Mac,Punch Out,06c00000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_06c00000-000f0002.png,Little Mac,2014-12-12,2014-12-19,2014-12-06,2014-12-14,000f0002,Figure
